account_id,username,trust_score,trust_label,bot_ratio,posts_per_day
acc00044,user_00044,80,Reliable,0.0,6
acc00045,user_00045,85,Reliable,0.0,4
acc00046,user_00046,85,Reliable,0.0,2
acc00047,user_00047,80,Reliable,0.0,9
acc00048,user_00048,80,Reliable,0.0,50
acc00049,user_00049,0,Bot/Malicious,1.0,185
acc00050,user_00050,80,Reliable,0.0,9
acc00051,user_00051,70,Neutral,0.0,5
acc00052,user_00052,0,Bot/Malicious,1.0,162
acc00053,user_00053,75,Neutral,0.0,4
acc00054,user_00054,70,Neutral,0.0,10
acc00055,user_00055,75,Neutral,0.0,1
acc00056,user_00056,75,Neutral,0.0,4
acc00057,user_00057,0,Bot/Malicious,1.0,68
acc00058,user_00058,50,Neutral,0.0,51
acc00059,user_00059,60,Neutral,0.0,79
acc00060,user_00060,0,Bot/Malicious,1.0,112
acc00061,user_00061,0,Bot/Malicious,1.0,98
acc00062,user_00062,0,Bot/Malicious,1.0,140
acc00063,user_00063,80,Reliable,0.0,23
acc00064,user_00064,75,Neutral,0.0,1
acc00065,user_00065,75,Neutral,0.0,4
acc00066,user_00066,0,Bot/Malicious,1.0,85
acc00067,user_00067,0,Bot/Malicious,1.0,113
acc00068,user_00068,70,Neutral,0.0,26
acc00069,user_00069,85,Reliable,0.0,2
acc00070,user_00070,75,Neutral,0.0,3
acc00071,user_00071,80,Reliable,0.0,7
acc00072,user_00072,10,Bot/Malicious,1.0,50
acc00073,user_00073,0,Bot/Malicious,1.0,123
acc00074,user_00074,50,Neutral,0.0,70
acc00075,user_00075,0,Bot/Malicious,1.0,89
acc00076,user_00076,80,Reliable,0.0,10
acc00077,user_00077,70,Neutral,0.0,40
acc00078,user_00078,0,Bot/Malicious,1.0,178
acc00079,user_00079,70,Neutral,0.0,9
acc00080,user_00080,80,Reliable,0.0,24
acc00081,user_00081,70,Neutral,0.0,10
acc00082,user_00082,70,Neutral,0.0,10
acc00083,user_00083,50,Neutral,0.0,56
acc00084,user_00084,0,Bot/Malicious,1.0,102
acc00085,user_00085,70,Neutral,0.0,5
acc00086,user_00086,70,Neutral,0.0,39
acc00087,user_00087,75,Neutral,0.0,1
acc00088,user_00088,75,Neutral,0.0,2
acc00089,user_00089,0,Bot/Malicious,1.0,83
acc00090,user_00090,75,Neutral,0.0,4
acc00091,user_00091,0,Bot/Malicious,1.0,189
acc00092,user_00092,40,Neutral,0.0,53
acc00093,user_00093,80,Reliable,0.0,39
acc00094,user_00094,70,Neutral,0.0,5
acc00095,user_00095,70,Neutral,0.0,29
acc00096,user_00096,70,Neutral,0.0,6
acc00097,user_00097,0,Bot/Malicious,1.0,179
acc00098,user_00098,75,Neutral,0.0,2
acc00099,user_00099,0,Bot/Malicious,1.0,61
acc00100,user_00100,70,Neutral,0.0,5
acc00101,user_00101,50,Neutral,0.0,65
acc00102,user_00102,85,Reliable,0.0,2
acc00103,user_00103,70,Neutral,0.0,9
acc00104,user_00104,70,Neutral,0.0,29
acc00105,user_00105,0,Bot/Malicious,1.0,143
acc00106,user_00106,0,Bot/Malicious,1.0,103
acc00107,user_00107,80,Reliable,0.0,6
acc00108,user_00108,0,Bot/Malicious,1.0,89
acc00109,user_00109,85,Reliable,0.0,3
acc00110,user_00110,80,Reliable,0.0,6
acc00111,user_00111,60,Neutral,0.0,75
acc00112,user_00112,75,Neutral,0.0,2
acc00113,user_00113,0,Bot/Malicious,1.0,106
acc00114,user_00114,0,Bot/Malicious,1.0,108
acc00115,user_00115,70,Neutral,0.0,7
acc00116,user_00116,70,Neutral,0.0,5
acc00117,user_00117,0,Bot/Malicious,1.0,187
acc00118,user_00118,0,Bot/Malicious,1.0,95
acc00119,user_00119,70,Neutral,0.0,10
acc00120,user_00120,0,Bot/Malicious,1.0,161
acc00121,user_00121,0,Bot/Malicious,1.0,197
acc00122,user_00122,60,Neutral,0.0,47
acc00123,user_00123,60,Neutral,0.0,63
acc00124,user_00124,70,Neutral,0.0,32
acc00125,user_00125,50,Neutral,0.0,78
acc00126,user_00126,50,Neutral,0.0,74
acc00127,user_00127,0,Bot/Malicious,1.0,179
acc00128,user_00128,0,Bot/Malicious,1.0,153
acc00129,user_00129,75,Neutral,0.0,4
acc00130,user_00130,0,Bot/Malicious,1.0,94
acc00131,user_00131,0,Bot/Malicious,1.0,190
acc00132,user_00132,0,Bot/Malicious,1.0,103
acc00133,user_00133,70,Neutral,0.0,40
acc00134,user_00134,70,Neutral,0.0,33
acc00135,user_00135,80,Reliable,0.0,30
acc00136,user_00136,50,Neutral,0.0,62
acc00137,user_00137,85,Reliable,0.0,4
acc00138,user_00138,65,Neutral,0.0,3
acc00139,user_00139,0,Bot/Malicious,1.0,68
acc00140,user_00140,50,Neutral,0.0,56
acc00141,user_00141,0,Bot/Malicious,1.0,176
acc00142,user_00142,40,Neutral,0.0,64
acc00143,user_00143,70,Neutral,0.0,7
acc00144,user_00144,50,Neutral,0.0,53
acc00145,user_00145,75,Neutral,0.0,2
acc00146,user_00146,0,Bot/Malicious,1.0,185
acc00147,user_00147,0,Bot/Malicious,1.0,179
acc00148,user_00148,70,Neutral,0.0,8
acc00149,user_00149,80,Reliable,0.0,5
acc00150,user_00150,70,Neutral,0.0,35
acc00151,user_00151,70,Neutral,0.0,38
acc00152,user_00152,0,Bot/Malicious,1.0,188
acc00153,user_00153,80,Reliable,0.0,7
acc00154,user_00154,75,Neutral,0.0,2
acc00155,user_00155,70,Neutral,0.0,49
acc00156,user_00156,0,Bot/Malicious,1.0,149
acc00157,user_00157,80,Reliable,0.0,21
acc00158,user_00158,0,Bot/Malicious,1.0,51
acc00159,user_00159,0,Bot/Malicious,1.0,157
acc00160,user_00160,50,Neutral,0.0,71
acc00161,user_00161,70,Neutral,0.0,5
acc00162,user_00162,0,Bot/Malicious,1.0,136
acc00163,user_00163,0,Bot/Malicious,1.0,92
acc00164,user_00164,70,Neutral,0.0,10
acc00165,user_00165,0,Bot/Malicious,1.0,194
acc00166,user_00166,70,Neutral,0.0,47
acc00167,user_00167,70,Neutral,0.0,5
acc00168,user_00168,0,Bot/Malicious,1.0,133
acc00169,user_00169,0,Bot/Malicious,1.0,121
acc00170,user_00170,60,Neutral,0.0,8
acc00171,user_00171,70,Neutral,0.0,6
acc00172,user_00172,80,Reliable,0.0,22
acc00173,user_00173,85,Reliable,0.0,4
acc00174,user_00174,75,Neutral,0.0,4
acc00175,user_00175,80,Reliable,0.0,10
acc00176,user_00176,80,Reliable,0.0,36
acc00177,user_00177,60,Neutral,0.0,58
acc00178,user_00178,85,Reliable,0.0,3
acc00179,user_00179,80,Reliable,0.0,21
acc00180,user_00180,60,Neutral,0.0,78
acc00181,user_00181,70,Neutral,0.0,32
acc00182,user_00182,70,Neutral,0.0,35
acc00183,user_00183,0,Bot/Malicious,1.0,80
acc00184,user_00184,70,Neutral,0.0,6
acc00185,user_00185,0,Bot/Malicious,1.0,67
acc00186,user_00186,80,Reliable,0.0,7
acc00187,user_00187,0,Bot/Malicious,1.0,142
acc00188,user_00188,70,Neutral,0.0,7
acc00189,user_00189,70,Neutral,0.0,37
acc00190,user_00190,0,Bot/Malicious,1.0,169
acc00191,user_00191,0,Bot/Malicious,1.0,132
acc00192,user_00192,80,Reliable,0.0,5
acc00193,user_00193,0,Bot/Malicious,1.0,195
acc00194,user_00194,0,Bot/Malicious,1.0,57
acc00195,user_00195,0,Bot/Malicious,1.0,104
acc00196,user_00196,0,Bot/Malicious,1.0,120
acc00197,user_00197,75,Neutral,0.0,2
acc00198,user_00198,0,Bot/Malicious,1.0,192
acc00199,user_00199,0,Bot/Malicious,1.0,175
acc00200,user_00200,0,Bot/Malicious,1.0,106
acc00201,user_00201,0,Bot/Malicious,1.0,198
acc00202,user_00202,70,Neutral,0.0,42
acc00203,user_00203,0,Bot/Malicious,1.0,140
acc00204,user_00204,0,Bot/Malicious,1.0,114
acc00205,user_00205,70,Neutral,0.0,6
acc00206,user_00206,70,Neutral,0.0,31
acc00207,user_00207,0,Bot/Malicious,1.0,120
acc00208,user_00208,50,Neutral,0.0,58
acc00209,user_00209,70,Neutral,0.0,5
acc00210,user_00210,0,Bot/Malicious,1.0,53
acc00211,user_00211,0,Bot/Malicious,1.0,61
acc00212,user_00212,0,Bot/Malicious,1.0,82
acc00213,user_00213,75,Neutral,0.0,1
acc00214,user_00214,0,Bot/Malicious,1.0,162
acc00215,user_00215,80,Reliable,0.0,5
acc00216,user_00216,70,Neutral,0.0,7
acc00217,user_00217,50,Neutral,0.0,63
acc00218,user_00218,50,Neutral,0.0,80
acc00219,user_00219,80,Reliable,0.0,9
acc00220,user_00220,50,Neutral,0.0,70
acc00221,user_00221,70,Neutral,0.0,44
acc00222,user_00222,70,Neutral,0.0,47
acc00223,user_00223,80,Reliable,0.0,10
acc00224,user_00224,75,Neutral,0.0,4
acc00225,user_00225,75,Neutral,0.0,4
acc00226,user_00226,75,Neutral,0.0,1
acc00227,user_00227,70,Neutral,0.0,50
acc00228,user_00228,0,Bot/Malicious,1.0,122
acc00229,user_00229,80,Reliable,0.0,34
acc00230,user_00230,60,Neutral,0.0,57
acc00231,user_00231,70,Neutral,0.0,9
acc00232,user_00232,0,Bot/Malicious,1.0,86
acc00233,user_00233,0,Bot/Malicious,1.0,195
acc00234,user_00234,80,Reliable,0.0,8
acc00235,user_00235,0,Bot/Malicious,1.0,119
acc00236,user_00236,0,Bot/Malicious,1.0,70
acc00237,user_00237,0,Bot/Malicious,1.0,132
acc00238,user_00238,85,Reliable,0.0,4
acc00239,user_00239,60,Neutral,0.0,57
acc00240,user_00240,50,Neutral,0.0,72
acc00241,user_00241,70,Neutral,0.0,8
acc00242,user_00242,0,Bot/Malicious,1.0,96
acc00243,user_00243,0,Bot/Malicious,1.0,73
acc00244,user_00244,0,Bot/Malicious,1.0,132
acc00245,user_00245,70,Neutral,0.0,6
acc00246,user_00246,0,Bot/Malicious,1.0,152
acc00247,user_00247,70,Neutral,0.0,8
acc00248,user_00248,0,Bot/Malicious,1.0,79
acc00249,user_00249,40,Neutral,0.0,72
acc00250,user_00250,70,Neutral,0.0,49
acc00251,user_00251,70,Neutral,0.0,43
acc00252,user_00252,80,Reliable,0.0,48
acc00253,user_00253,0,Bot/Malicious,1.0,190
acc00254,user_00254,50,Neutral,0.0,51
acc00255,user_00255,50,Neutral,0.0,71
acc00256,user_00256,0,Bot/Malicious,1.0,191
acc00257,user_00257,85,Reliable,0.0,4
acc00258,user_00258,75,Neutral,0.0,3
acc00259,user_00259,50,Neutral,0.0,65
acc00260,user_00260,0,Bot/Malicious,1.0,170
acc00261,user_00261,70,Neutral,0.0,7
acc00262,user_00262,50,Neutral,0.0,76
acc00263,user_00263,0,Bot/Malicious,1.0,137
acc00264,user_00264,80,Reliable,0.0,5
acc00265,user_00265,60,Neutral,0.0,57
acc00266,user_00266,70,Neutral,0.0,8
acc00267,user_00267,0,Bot/Malicious,1.0,191
acc00268,user_00268,0,Bot/Malicious,1.0,132
acc00269,user_00269,70,Neutral,0.0,10
acc00270,user_00270,0,Bot/Malicious,1.0,61
acc00271,user_00271,60,Neutral,0.0,78
acc00272,user_00272,60,Neutral,0.0,70
acc00273,user_00273,0,Bot/Malicious,1.0,59
acc00274,user_00274,80,Reliable,0.0,41
acc00275,user_00275,0,Bot/Malicious,1.0,75
acc00276,user_00276,70,Neutral,0.0,29
acc00277,user_00277,75,Neutral,0.0,2
acc00278,user_00278,50,Neutral,0.0,64
acc00279,user_00279,0,Bot/Malicious,1.0,186
acc00280,user_00280,60,Neutral,0.0,76
acc00281,user_00281,70,Neutral,0.0,22
acc00282,user_00282,60,Neutral,0.0,63
acc00283,user_00283,70,Neutral,0.0,25
acc00284,user_00284,60,Neutral,0.0,65
acc00285,user_00285,80,Reliable,0.0,5
acc00286,user_00286,0,Bot/Malicious,1.0,64
acc00287,user_00287,0,Bot/Malicious,1.0,87
acc00288,user_00288,60,Neutral,0.0,63
acc00289,user_00289,75,Neutral,0.0,2
acc00290,user_00290,70,Neutral,0.0,35
acc00291,user_00291,70,Neutral,0.0,8
acc00292,user_00292,0,Bot/Malicious,1.0,52
acc00293,user_00293,0,Bot/Malicious,1.0,189
acc00294,user_00294,0,Bot/Malicious,1.0,200
acc00295,user_00295,0,Bot/Malicious,1.0,114
acc00296,user_00296,0,Bot/Malicious,1.0,173
acc00297,user_00297,70,Neutral,0.0,42
acc00298,user_00298,0,Bot/Malicious,1.0,55
acc00299,user_00299,0,Bot/Malicious,1.0,52
acc00300,user_00300,80,Reliable,0.0,23
acc00301,user_00301,0,Bot/Malicious,1.0,123
acc00302,user_00302,0,Bot/Malicious,1.0,106
acc00303,user_00303,0,Bot/Malicious,1.0,85
acc00304,user_00304,50,Neutral,0.0,61
acc00305,user_00305,0,Bot/Malicious,1.0,58
acc00306,user_00306,85,Reliable,0.0,2
acc00307,user_00307,70,Neutral,0.0,46
acc00308,user_00308,60,Neutral,0.0,76
acc00309,user_00309,50,Neutral,0.0,78
acc00310,user_00310,0,Bot/Malicious,1.0,125
acc00311,user_00311,80,Reliable,0.0,8
acc00312,user_00312,80,Reliable,0.0,7
acc00313,user_00313,60,Neutral,0.0,7
acc00314,user_00314,70,Neutral,0.0,8
acc00315,user_00315,70,Neutral,0.0,36
acc00316,user_00316,50,Neutral,0.0,80
acc00317,user_00317,60,Neutral,0.0,8
acc00318,user_00318,80,Reliable,0.0,40
acc00319,user_00319,70,Neutral,0.0,24
acc00320,user_00320,80,Reliable,0.0,39
acc00321,user_00321,85,Reliable,0.0,1
acc00322,user_00322,0,Bot/Malicious,1.0,79
acc00323,user_00323,70,Neutral,0.0,28
acc00324,user_00324,60,Neutral,0.0,80
acc00325,user_00325,70,Neutral,0.0,46
acc00326,user_00326,80,Reliable,0.0,7
acc00327,user_00327,0,Bot/Malicious,1.0,154
acc00328,user_00328,70,Neutral,0.0,43
acc00329,user_00329,70,Neutral,0.0,6
acc00330,user_00330,50,Neutral,0.0,77
acc00331,user_00331,0,Bot/Malicious,1.0,120
acc00332,user_00332,0,Bot/Malicious,1.0,73
acc00333,user_00333,60,Neutral,0.0,58
acc00334,user_00334,0,Bot/Malicious,1.0,112
acc00335,user_00335,70,Neutral,0.0,9
acc00336,user_00336,80,Reliable,0.0,6
acc00337,user_00337,70,Neutral,0.0,20
acc00338,user_00338,80,Reliable,0.0,36
acc00339,user_00339,40,Neutral,0.0,75
acc00340,user_00340,0,Bot/Malicious,1.0,110
acc00341,user_00341,70,Neutral,0.0,5
acc00342,user_00342,0,Bot/Malicious,1.0,184
acc00343,user_00343,0,Bot/Malicious,1.0,164
acc00344,user_00344,70,Neutral,0.0,26
acc00345,user_00345,80,Reliable,0.0,22
acc00346,user_00346,0,Bot/Malicious,1.0,167
acc00347,user_00347,0,Bot/Malicious,1.0,152
acc00348,user_00348,0,Bot/Malicious,1.0,163
acc00349,user_00349,70,Neutral,0.0,29
acc00350,user_00350,50,Neutral,0.0,60
acc00351,user_00351,0,Bot/Malicious,1.0,147
acc00352,user_00352,0,Bot/Malicious,1.0,179
acc00353,user_00353,80,Reliable,0.0,27
acc00354,user_00354,60,Neutral,0.0,66
acc00355,user_00355,0,Bot/Malicious,1.0,108
acc00356,user_00356,0,Bot/Malicious,1.0,152
acc00357,user_00357,0,Bot/Malicious,1.0,159
acc00358,user_00358,0,Bot/Malicious,1.0,89
acc00359,user_00359,75,Neutral,0.0,2
acc00360,user_00360,50,Neutral,0.0,67
acc00361,user_00361,80,Reliable,0.0,10
acc00362,user_00362,0,Bot/Malicious,1.0,81
acc00363,user_00363,60,Neutral,0.0,80
acc00364,user_00364,80,Reliable,0.0,23
acc00365,user_00365,0,Bot/Malicious,1.0,140
acc00366,user_00366,85,Reliable,0.0,3
acc00367,user_00367,80,Reliable,0.0,6
acc00368,user_00368,70,Neutral,0.0,5
acc00369,user_00369,0,Bot/Malicious,1.0,193
acc00370,user_00370,50,Neutral,0.0,61
acc00371,user_00371,60,Neutral,0.0,73
acc00372,user_00372,80,Reliable,0.0,5
acc00373,user_00373,0,Bot/Malicious,1.0,139
acc00374,user_00374,80,Reliable,0.0,10
acc00375,user_00375,75,Neutral,0.0,1
acc00376,user_00376,70,Neutral,0.0,7
acc00377,user_00377,70,Neutral,0.0,6
acc00378,user_00378,50,Neutral,0.0,58
acc00379,user_00379,70,Neutral,0.0,10
acc00380,user_00380,0,Bot/Malicious,1.0,163
acc00381,user_00381,70,Neutral,0.0,48
acc00382,user_00382,70,Neutral,0.0,27
acc00383,user_00383,0,Bot/Malicious,1.0,174
acc00384,user_00384,75,Neutral,0.0,4
acc00385,user_00385,75,Neutral,0.0,4
acc00386,user_00386,70,Neutral,0.0,5
acc00387,user_00387,80,Reliable,0.0,8
acc00388,user_00388,70,Neutral,0.0,7
acc00389,user_00389,60,Neutral,0.0,55
acc00390,user_00390,0,Bot/Malicious,1.0,68
acc00391,user_00391,0,Bot/Malicious,1.0,54
acc00392,user_00392,0,Bot/Malicious,1.0,197
acc00393,user_00393,50,Neutral,0.0,60
acc00394,user_00394,0,Bot/Malicious,1.0,55
acc00395,user_00395,80,Reliable,0.0,49
acc00396,user_00396,0,Bot/Malicious,1.0,72
acc00397,user_00397,0,Bot/Malicious,1.0,200
acc00398,user_00398,0,Bot/Malicious,1.0,129
acc00399,user_00399,0,Bot/Malicious,1.0,93
acc00400,user_00400,70,Neutral,0.0,9
acc00401,user_00401,0,Bot/Malicious,1.0,139
acc00402,user_00402,75,Neutral,0.0,4
acc00403,user_00403,75,Neutral,0.0,3
acc00404,user_00404,70,Neutral,0.0,24
acc00405,user_00405,0,Bot/Malicious,1.0,194
acc00406,user_00406,60,Neutral,0.0,79
acc00407,user_00407,50,Neutral,0.0,59
acc00408,user_00408,70,Neutral,0.0,8
acc00409,user_00409,80,Reliable,0.0,39
acc00410,user_00410,70,Neutral,0.0,6
acc00411,user_00411,0,Bot/Malicious,1.0,165
acc00412,user_00412,0,Bot/Malicious,1.0,69
acc00413,user_00413,50,Neutral,0.0,52
acc00414,user_00414,60,Neutral,0.0,70
acc00415,user_00415,50,Neutral,0.0,61
acc00416,user_00416,0,Bot/Malicious,1.0,178
acc00417,user_00417,80,Reliable,0.0,6
acc00418,user_00418,70,Neutral,0.0,31
acc00419,user_00419,0,Bot/Malicious,1.0,162
acc00420,user_00420,70,Neutral,0.0,6
acc00421,user_00421,0,Bot/Malicious,1.0,136
acc00422,user_00422,50,Neutral,0.0,61
acc00423,user_00423,80,Reliable,0.0,9
acc00424,user_00424,0,Bot/Malicious,1.0,88
acc00425,user_00425,80,Reliable,0.0,29
acc00426,user_00426,60,Neutral,0.0,64
acc00427,user_00427,60,Neutral,0.0,65
acc00428,user_00428,70,Neutral,0.0,44
acc00429,user_00429,70,Neutral,0.0,9
acc00430,user_00430,0,Bot/Malicious,1.0,180
acc00431,user_00431,0,Bot/Malicious,1.0,96
acc00432,user_00432,0,Bot/Malicious,1.0,99
acc00433,user_00433,80,Reliable,0.0,5
acc00434,user_00434,60,Neutral,0.0,73
acc00435,user_00435,80,Reliable,0.0,41
acc00436,user_00436,70,Neutral,0.0,44
acc00437,user_00437,50,Neutral,0.0,69
acc00438,user_00438,0,Bot/Malicious,1.0,61
acc00439,user_00439,80,Reliable,0.0,35
acc00440,user_00440,0,Bot/Malicious,1.0,164
acc00441,user_00441,0,Bot/Malicious,1.0,170
acc00442,user_00442,50,Neutral,0.0,80
acc00443,user_00443,0,Bot/Malicious,1.0,147
acc00444,user_00444,85,Reliable,0.0,4
acc00445,user_00445,0,Bot/Malicious,1.0,63
acc00446,user_00446,0,Bot/Malicious,1.0,191
acc00447,user_00447,50,Neutral,0.0,74
acc00448,user_00448,70,Neutral,0.0,5
acc00449,user_00449,0,Bot/Malicious,1.0,73
acc00450,user_00450,0,Bot/Malicious,1.0,139
acc00451,user_00451,70,Neutral,0.0,7
acc00452,user_00452,0,Bot/Malicious,1.0,70
acc00453,user_00453,0,Bot/Malicious,1.0,75
acc00454,user_00454,0,Bot/Malicious,1.0,87
acc00455,user_00455,0,Bot/Malicious,1.0,85
acc00456,user_00456,0,Bot/Malicious,1.0,51
acc00457,user_00457,0,Bot/Malicious,1.0,105
acc00458,user_00458,50,Neutral,0.0,58
acc00459,user_00459,0,Bot/Malicious,1.0,110
acc00460,user_00460,70,Neutral,0.0,7
acc00461,user_00461,85,Reliable,0.0,2
acc00462,user_00462,70,Neutral,0.0,21
acc00463,user_00463,75,Neutral,0.0,3
acc00464,user_00464,70,Neutral,0.0,42
acc00465,user_00465,75,Neutral,0.0,2
acc00466,user_00466,50,Neutral,0.0,54
acc00467,user_00467,80,Reliable,0.0,7
acc00468,user_00468,70,Neutral,0.0,44
acc00469,user_00469,80,Reliable,0.0,6
acc00470,user_00470,85,Reliable,0.0,2
acc00471,user_00471,0,Bot/Malicious,1.0,84
acc00472,user_00472,0,Bot/Malicious,1.0,94
acc00473,user_00473,70,Neutral,0.0,50
acc00474,user_00474,85,Reliable,0.0,2
acc00475,user_00475,0,Bot/Malicious,1.0,101
acc00476,user_00476,80,Reliable,0.0,6
acc00477,user_00477,0,Bot/Malicious,1.0,189
acc00478,user_00478,70,Neutral,0.0,32
acc00479,user_00479,70,Neutral,0.0,6
acc00480,user_00480,0,Bot/Malicious,1.0,161
acc00481,user_00481,0,Bot/Malicious,1.0,148
acc00482,user_00482,50,Neutral,0.0,51
acc00483,user_00483,70,Neutral,0.0,7
acc00484,user_00484,70,Neutral,0.0,9
acc00485,user_00485,80,Reliable,0.0,6
acc00486,user_00486,0,Bot/Malicious,1.0,159
acc00487,user_00487,0,Bot/Malicious,1.0,164
acc00488,user_00488,0,Bot/Malicious,1.0,161
acc00489,user_00489,85,Reliable,0.0,2
acc00490,user_00490,0,Bot/Malicious,1.0,181
acc00491,user_00491,75,Neutral,0.0,1
acc00492,user_00492,0,Bot/Malicious,1.0,58
acc00493,user_00493,70,Neutral,0.0,43
acc00494,user_00494,70,Neutral,0.0,22
acc00495,user_00495,0,Bot/Malicious,1.0,144
acc00496,user_00496,70,Neutral,0.0,10
acc00497,user_00497,0,Bot/Malicious,1.0,130
acc00498,user_00498,85,Reliable,0.0,1
acc00499,user_00499,80,Reliable,0.0,44
acc00500,user_00500,0,Bot/Malicious,1.0,116
acc00501,user_00501,80,Reliable,0.0,38
acc00502,user_00502,85,Reliable,0.0,3
acc00503,user_00503,70,Neutral,0.0,8
acc00504,user_00504,0,Bot/Malicious,1.0,138
acc00505,user_00505,80,Reliable,0.0,38
acc00506,user_00506,85,Reliable,0.0,3
acc00507,user_00507,75,Neutral,0.0,2
acc00508,user_00508,0,Bot/Malicious,1.0,56
acc00509,user_00509,0,Bot/Malicious,1.0,169
acc00510,user_00510,50,Neutral,0.0,76
acc00511,user_00511,0,Bot/Malicious,1.0,172
acc00512,user_00512,0,Bot/Malicious,1.0,197
acc00513,user_00513,70,Neutral,0.0,24
acc00514,user_00514,70,Neutral,0.0,42
acc00515,user_00515,80,Reliable,0.0,31
acc00516,user_00516,60,Neutral,0.0,78
acc00517,user_00517,70,Neutral,0.0,9
acc00518,user_00518,80,Reliable,0.0,6
acc00519,user_00519,0,Bot/Malicious,1.0,182
acc00520,user_00520,70,Neutral,0.0,5
acc00521,user_00521,70,Neutral,0.0,37
acc00522,user_00522,50,Neutral,0.0,54
acc00523,user_00523,80,Reliable,0.0,10
acc00524,user_00524,80,Reliable,0.0,10
acc00525,user_00525,80,Reliable,0.0,22
acc00526,user_00526,70,Neutral,0.0,10
acc00527,user_00527,70,Neutral,0.0,46
acc00528,user_00528,0,Bot/Malicious,1.0,189
acc00529,user_00529,0,Bot/Malicious,1.0,173
acc00530,user_00530,0,Bot/Malicious,1.0,166
acc00531,user_00531,70,Neutral,0.0,8
acc00532,user_00532,70,Neutral,0.0,6
acc00533,user_00533,80,Reliable,0.0,40
acc00534,user_00534,70,Neutral,0.0,6
acc00535,user_00535,0,Bot/Malicious,1.0,111
acc00536,user_00536,0,Bot/Malicious,1.0,113
acc00537,user_00537,0,Bot/Malicious,1.0,148
acc00538,user_00538,85,Reliable,0.0,3
acc00539,user_00539,50,Neutral,0.0,66
acc00540,user_00540,70,Neutral,0.0,8
acc00541,user_00541,0,Bot/Malicious,1.0,177
acc00542,user_00542,0,Bot/Malicious,1.0,179
acc00543,user_00543,70,Neutral,0.0,42
acc00544,user_00544,0,Bot/Malicious,1.0,170
acc00545,user_00545,70,Neutral,0.0,7
acc00546,user_00546,0,Bot/Malicious,1.0,153
acc00547,user_00547,70,Neutral,0.0,10
acc00548,user_00548,70,Neutral,0.0,38
acc00549,user_00549,0,Bot/Malicious,1.0,190
acc00550,user_00550,70,Neutral,0.0,27
acc00551,user_00551,0,Bot/Malicious,1.0,136
acc00552,user_00552,75,Neutral,0.0,4
acc00553,user_00553,70,Neutral,0.0,22
acc00554,user_00554,80,Reliable,0.0,41
acc00555,user_00555,0,Bot/Malicious,1.0,88
acc00556,user_00556,0,Bot/Malicious,1.0,131
acc00557,user_00557,50,Neutral,0.0,73
acc00558,user_00558,50,Neutral,0.0,73
acc00559,user_00559,50,Neutral,0.0,56
acc00560,user_00560,70,Neutral,0.0,6
acc00561,user_00561,0,Bot/Malicious,1.0,199
acc00562,user_00562,40,Neutral,0.0,60
acc00563,user_00563,0,Bot/Malicious,1.0,198
acc00564,user_00564,70,Neutral,0.0,10
acc00565,user_00565,50,Neutral,0.0,66
acc00566,user_00566,70,Neutral,0.0,35
acc00567,user_00567,70,Neutral,0.0,27
acc00568,user_00568,0,Bot/Malicious,1.0,157
acc00569,user_00569,70,Neutral,0.0,7
acc00570,user_00570,0,Bot/Malicious,1.0,65
