narrative_id,token_id,topic,start_time,end_time,posts
n0011,BLOC,Trend: Miss Opportunity Crypto,2025-01-01 00:44:48,2025-03-31 23:57:49,"p0000127,p0000209,p0000254,p0000282,p0000302,p0000335,p0000353,p0000356,p0000377,p0000445,p0000499,p0000506,p0000513,p0000575,p0000639,p0000659,p0000733,p0000742,p0000821,p0000879"
n0012,BLOC,Trend: Just Bloc Market,2025-01-01 00:08:42,2025-03-31 23:56:15,"p0000005,p0000008,p0000009,p0000015,p0000016,p0000022,p0000025,p0000035,p0000042,p0000087,p0000102,p0000108,p0000112,p0000162,p0000173,p0000177,p0000192,p0000196,p0000204,p0000208"
n0013,OMNI,Trend: Just Omni Market,2025-01-01 00:08:10,2025-03-31 23:27:56,"p0000006,p0000010,p0000031,p0000041,p0000046,p0000055,p0000056,p0000057,p0000069,p0000086,p0000100,p0000103,p0000104,p0000105,p0000118,p0000143,p0000150,p0000163,p0000211,p0000215"
n0014,OMNI,Trend: Primed Buy Moon,2025-01-01 00:08:22,2025-03-31 23:51:51,"p0000017,p0000039,p0000109,p0000146,p0000174,p0000176,p0000206,p0000217,p0000245,p0000272,p0000328,p0000367,p0000427,p0000439,p0000448,p0000463,p0000473,p0000537,p0000564,p0000593"
n0015,OMNI,Trend: Pools Inflows Overbought,2025-01-01 01:12:29,2025-03-31 21:27:59,"p0000045,p0000107,p0000113,p0000125,p0000168,p0000190,p0000239,p0000261,p0000304,p0000352,p0000389,p0000404,p0000446,p0000525,p0000549,p0000579,p0000672,p0000705,p0000778,p0000910"
n0016,RNDR,Trend: Just Rndr Market,2025-01-01 00:01:33,2025-03-31 23:28:50,"p0000011,p0000018,p0000026,p0000051,p0000066,p0000081,p0000083,p0000091,p0000099,p0000110,p0000119,p0000135,p0000140,p0000142,p0000149,p0000161,p0000166,p0000180,p0000181,p0000193"
n0017,RNDR,Trend: Moon Primed Miss,2025-01-01 00:55:58,2025-03-31 23:45:27,"p0000065,p0000080,p0000128,p0000179,p0000195,p0000205,p0000207,p0000247,p0000275,p0000299,p0000324,p0000346,p0000357,p0000380,p0000385,p0000407,p0000451,p0000453,p0000460,p0000497"
n0018,RNDR,Trend: Word Target Attention,2025-01-01 00:15:17,2025-03-31 21:55:02,"p0000084,p0000164,p0000315,p0000403,p0000542,p0000797,p0000867,p0000947,p0001035,p0001153,p0001207,p0001212,p0001268,p0001292,p0001531,p0001573,p0001587,p0001620,p0001691,p0001775"
n0019,AITK,Trend: Signals Overbought Usually,2025-01-01 00:19:41,2025-03-31 23:30:27,"p0000038,p0000070,p0000073,p0000117,p0000120,p0000123,p0000155,p0000172,p0000185,p0000202,p0000265,p0000291,p0000320,p0000323,p0000345,p0000393,p0000396,p0000418,p0000419,p0000465"
n0020,AITK,Trend: Crypto Buy Opportunity,2025-01-01 00:07:06,2025-03-31 23:18:49,"p0000014,p0000060,p0000063,p0000077,p0000090,p0000098,p0000133,p0000171,p0000230,p0000231,p0000246,p0000248,p0000268,p0000285,p0000298,p0000322,p0000325,p0000326,p0000337,p0000371"
n0021,AITK,Trend: Just Aitk Amounts,2025-01-01 00:16:47,2025-03-31 23:43:51,"p0000020,p0000027,p0000040,p0000043,p0000049,p0000071,p0000106,p0000129,p0000157,p0000167,p0000169,p0000178,p0000183,p0000199,p0000218,p0000224,p0000225,p0000253,p0000258,p0000266"
