account_id,username,created_at,followers,following,posts_per_day,credibility
acc00210,HodlWalker2117,2024-03-15,645,820,34,medium
acc00211,SmartSignal1181,2024-03-19,982,859,22,medium
acc00212,CryptoShark1276,2024-12-19,80,1679,159,low
acc00213,HodlWhale4744,2024-01-24,514,121,40,medium
acc00214,FastShark5929,2020-05-18,29120,482,2,high
acc00215,HodlAnalyst6561,2022-03-26,5654,252,5,high
acc00216,AlphaTrader5457,2024-06-01,272,178,52,medium
acc00217,MoonGuru8356,2024-02-08,894,457,42,medium
acc00218,DefiTrader1685,2024-01-30,362,302,31,medium
acc00219,DefiQueen2903,2024-07-04,891,743,51,medium
acc00220,FastAnalyst7355,2024-11-14,144,1816,132,low
acc00221,AlphaWalker7206,2024-01-15,580,552,60,medium
acc00222,BlockAnalyst921,2024-09-11,129,651,129,low
acc00223,SafeKing933,2024-09-14,73,657,73,low
acc00224,FastGuru6300,2024-03-31,694,667,70,medium
acc00225,CryptoShark9367,2024-05-07,292,429,58,medium
acc00226,SmartWalker1014,2024-09-30,26,1203,71,low
acc00227,DefiKing4060,2024-05-18,548,549,53,medium
acc00228,FastWalker5963,2024-03-14,389,496,46,medium
acc00229,FastKing5483,2024-07-17,84,693,192,low
acc00230,HodlBot4129,2024-05-21,972,772,78,medium
acc00231,DefiSignal1336,2024-04-24,779,244,78,medium
acc00232,BlockWhale2113,2024-10-28,181,673,129,low
acc00233,HodlSignal2094,2024-05-11,819,948,80,medium
acc00234,SmartQueen6938,2024-04-09,470,118,43,medium
acc00235,DefiTrader5599,2024-11-30,124,893,107,low
acc00236,DefiQueen4847,2023-08-06,7128,309,9,high
acc00237,SmartKing5518,2024-06-20,884,732,28,medium
acc00238,HodlWalker2659,2024-02-06,951,809,69,medium
acc00239,DefiShark716,2024-03-21,473,792,66,medium
acc00240,SafeAnalyst4669,2023-03-16,49556,451,8,high
acc00241,SmartTrader5071,2023-06-12,31237,477,4,high
acc00242,FastShark7565,2024-12-01,72,1282,178,low
acc00243,HodlWalker3272,2024-06-05,719,241,75,medium
acc00244,CryptoShark6082,2024-10-20,26,1956,182,low
acc00245,BlockQueen2627,2021-03-01,29946,312,3,high
acc00246,MoonTrader7392,2024-12-23,89,554,156,low
acc00247,HodlGuru6127,2021-01-03,25807,91,6,high
acc00248,CryptoSignal1624,2023-07-29,47338,382,6,high
acc00249,DefiKing4701,2023-11-28,31462,406,3,high
acc00250,SafeShark87,2024-06-25,181,119,36,medium
acc00251,DefiGuru9976,2022-04-01,28238,106,5,high
acc00252,BlockQueen783,2021-01-07,28013,377,10,high
acc00253,MoonQueen8190,2024-10-28,137,533,181,low
acc00254,ChainWalker4773,2024-03-25,101,729,42,medium
acc00255,FastWhale3069,2022-10-31,44292,93,9,high
acc00256,MoonGuru8915,2024-10-11,129,1634,55,low
acc00257,SafeKing6339,2024-09-15,64,533,141,low
acc00258,AlphaTrader1699,2023-04-15,38635,426,6,high
acc00259,CryptoSignal8946,2021-06-11,42626,139,8,high
acc00260,SafeWalker2210,2024-01-14,833,894,80,medium
acc00261,CryptoBot3303,2024-07-13,51,585,130,low
acc00262,SmartWhale8898,2024-10-04,64,574,98,low
acc00263,AlphaKing5439,2024-08-27,31,1253,161,low
acc00264,SafeWhale5555,2024-08-10,127,1917,177,low
acc00265,SmartBot1354,2024-11-23,108,661,160,low
acc00266,DefiGuru4814,2024-03-04,205,181,40,medium
acc00267,BlockBot7306,2024-04-28,834,536,30,medium
acc00268,SafeSignal7326,2024-01-10,844,990,78,medium
acc00269,FastWhale4499,2024-11-06,14,653,153,low
acc00270,SmartWalker511,2024-08-01,155,1888,162,low
acc00271,DefiQueen3867,2023-04-26,42781,237,6,high
acc00272,FastKing9914,2024-08-03,173,1421,144,low
acc00273,SafeQueen9404,2024-07-31,135,1251,151,low
acc00274,BlockTrader1859,2024-07-10,188,881,177,low
acc00275,HodlGuru1930,2024-02-21,893,366,65,medium
acc00276,ChainAnalyst4679,2024-11-16,125,909,81,low
acc00277,MoonShark2829,2023-10-30,47251,277,2,high
acc00278,AlphaSignal1064,2024-04-17,655,397,77,medium
acc00279,DefiWalker5923,2024-10-11,57,748,101,low
acc00280,ChainShark431,2021-07-16,36808,343,6,high
acc00281,SmartWalker1413,2024-07-17,79,1315,172,low
acc00282,HodlWhale9420,2024-01-16,228,424,61,medium
acc00283,SafeShark8477,2021-06-21,8910,499,9,high
acc00284,FastWalker2115,2024-03-26,614,989,23,medium
acc00285,SmartWalker4983,2020-09-14,11114,215,4,high
acc00286,SmartBot1293,2024-08-22,50,1800,191,low
acc00287,DefiBot8741,2024-07-23,128,1812,93,low
acc00288,FastWalker2805,2024-05-08,739,837,77,medium
acc00289,AlphaAnalyst675,2024-06-10,984,129,25,medium
acc00290,FastBot3454,2023-04-08,37995,263,10,high
acc00291,CryptoShark8939,2024-02-27,757,409,50,medium
acc00292,HodlBot7431,2020-04-25,45628,80,3,high
acc00293,HodlShark7610,2024-08-13,87,1742,86,low
acc00294,AlphaSignal6533,2024-07-30,194,1258,181,low
acc00295,MoonSignal3961,2024-04-01,225,373,48,medium
acc00296,DefiQueen830,2021-03-28,25675,492,10,high
acc00297,ChainWalker5365,2024-10-25,184,1140,98,low
acc00298,SafeGuru7649,2022-02-15,20720,304,1,high
acc00299,HodlGuru7492,2021-01-10,14599,348,6,high
acc00300,CryptoBot8109,2022-07-19,43377,394,8,high
acc00301,SmartKing1762,2024-09-26,34,1041,143,low
acc00302,AlphaKing6564,2024-07-14,145,1650,99,low
acc00303,SmartBot1205,2024-09-18,129,1422,190,low
acc00304,FastAnalyst1947,2024-07-29,24,1306,145,low
acc00305,SmartSignal2364,2024-08-12,154,1542,152,low
acc00306,CryptoKing638,2024-01-28,830,441,71,medium
acc00307,SmartShark2441,2024-10-30,131,786,133,low
acc00308,AlphaWalker6439,2024-04-30,857,962,39,medium
acc00309,AlphaGuru8352,2024-04-14,601,825,56,medium
acc00310,SafeKing6036,2024-09-07,172,724,156,low
acc00311,BlockKing9780,2024-04-03,371,771,70,medium
acc00312,FastTrader842,2024-04-24,591,274,53,medium
acc00313,FastWhale2422,2024-06-09,797,348,22,medium
acc00314,MoonTrader311,2024-03-27,421,528,29,medium
acc00315,ChainWhale8222,2024-12-02,156,1465,65,low
acc00316,DefiGuru3398,2024-04-19,432,778,50,medium
acc00317,HodlSignal2838,2024-03-31,645,450,54,medium
acc00318,BlockAnalyst7933,2024-08-11,63,1071,192,low
acc00319,ChainBot4736,2024-11-18,53,1913,175,low
acc00320,SafeSignal9184,2024-12-06,184,1060,123,low
acc00321,FastGuru6221,2023-10-25,26356,469,6,high
acc00322,BlockKing4713,2023-01-16,5679,227,8,high
acc00323,BlockShark3506,2024-02-10,947,651,37,medium
acc00324,BlockWalker1790,2024-04-30,858,700,35,medium
acc00325,CryptoGuru3698,2022-09-20,15759,76,2,high
acc00326,AlphaShark1648,2024-11-14,197,781,51,low
acc00327,DefiWhale7794,2024-04-03,766,304,68,medium
acc00328,AlphaBot970,2024-12-28,196,683,196,low
acc00329,SmartKing2869,2021-10-13,12020,68,7,high
acc00330,DefiBot614,2024-07-06,76,1663,77,low
acc00331,BlockShark8902,2024-10-14,126,774,179,low
acc00332,BlockTrader1846,2024-09-07,41,1997,167,low
acc00333,BlockWalker231,2024-05-24,445,909,38,medium
acc00334,ChainWalker6644,2024-06-10,537,627,40,medium
acc00335,HodlQueen3028,2020-08-08,31790,215,4,high
acc00336,BlockWhale3859,2021-11-26,49898,186,6,high
acc00337,FastAnalyst188,2024-08-24,167,1236,110,low
acc00338,MoonShark5027,2020-09-07,27069,401,9,high
acc00339,BlockQueen4834,2024-03-13,729,326,34,medium
acc00340,SafeWalker7455,2023-03-09,40197,241,7,high
acc00341,SmartShark8807,2024-06-05,780,945,33,medium
acc00342,FastQueen8610,2021-11-26,35114,410,6,high
acc00343,FastQueen1012,2023-07-13,36390,308,4,high
acc00344,SmartWalker2696,2024-03-05,974,632,48,medium
acc00345,ChainAnalyst8009,2020-05-23,33947,278,1,high
acc00346,DefiGuru6807,2024-10-01,144,618,193,low
acc00347,BlockKing6488,2024-08-23,0,946,198,low
acc00348,CryptoWhale5645,2022-12-26,4678,327,1,high
acc00349,SafeKing4704,2021-09-29,12295,443,3,high
acc00350,HodlSignal6267,2024-03-29,990,486,44,medium
acc00351,SmartWalker5698,2020-07-05,12196,325,7,high
acc00352,DefiTrader57,2024-05-27,123,405,49,medium
acc00353,SmartWhale8716,2024-03-15,943,335,35,medium
acc00354,AlphaWalker4517,2024-08-10,185,731,58,low
acc00355,HodlAnalyst257,2024-02-17,311,168,26,medium
acc00356,CryptoShark9795,2024-05-11,820,993,23,medium
acc00357,CryptoWhale7192,2021-01-01,35873,161,1,high
acc00358,SmartBot3837,2023-06-23,48440,344,6,high
acc00359,FastSignal3882,2024-02-29,997,246,62,medium
acc00360,ChainWhale4924,2024-02-24,162,670,80,medium
acc00361,DefiWhale9108,2024-04-07,148,452,80,medium
acc00362,HodlGuru5223,2024-05-16,526,518,29,medium
acc00363,HodlWalker8814,2024-10-04,61,961,126,low
acc00364,DefiShark945,2024-04-20,522,526,55,medium
acc00365,DefiWhale3979,2024-02-20,308,438,61,medium
acc00366,SafeSignal1515,2022-04-14,47986,474,4,high
acc00367,BlockWhale9912,2022-07-27,3091,497,2,high
acc00368,FastGuru3556,2022-01-16,14189,495,6,high
acc00369,CryptoTrader3114,2024-11-25,30,1480,112,low
acc00370,FastTrader6499,2024-06-27,345,665,40,medium
acc00371,HodlShark8744,2024-11-07,91,1131,116,low
acc00372,SmartShark7636,2024-07-24,184,1461,131,low
acc00373,AlphaSignal6782,2020-03-14,37365,492,4,high
acc00374,DefiKing4273,2024-04-18,698,693,66,medium
acc00375,BlockWalker3215,2024-09-07,58,1277,195,low
acc00376,SafeGuru5531,2021-02-05,32522,420,8,high
acc00377,DefiSignal2774,2024-08-01,184,1619,175,low
acc00378,SmartKing8585,2020-02-24,5371,468,1,high
acc00379,HodlWalker3792,2020-04-17,46845,127,1,high
acc00380,SmartShark6115,2020-04-05,40990,376,10,high
acc00381,SafeKing109,2024-10-16,141,1342,53,low
acc00382,SmartBot8778,2021-03-23,1623,307,7,high
acc00383,MoonQueen8592,2020-08-21,16292,148,10,high
acc00384,BlockSignal4380,2024-06-04,506,180,43,medium
acc00385,SafeAnalyst3985,2024-11-17,57,1114,70,low
acc00386,CryptoQueen6641,2024-03-15,486,665,50,medium
acc00387,CryptoWalker1355,2022-02-17,28936,380,6,high
acc00388,MoonGuru698,2024-02-15,316,988,64,medium
acc00389,SafeBot763,2024-06-29,176,800,79,medium
acc00390,SmartAnalyst540,2024-08-08,80,532,103,low
acc00391,DefiWhale1261,2024-02-29,266,677,35,medium
acc00392,HodlGuru5436,2024-03-16,873,857,28,medium
acc00393,MoonGuru5667,2024-01-12,200,547,34,medium
acc00394,AlphaAnalyst9759,2021-09-10,21889,65,5,high
acc00395,SafeTrader5830,2024-10-20,96,1384,97,low
acc00396,FastWhale1405,2024-05-30,733,402,71,medium
acc00397,MoonQueen4391,2020-08-29,25403,414,3,high
acc00398,HodlSignal5910,2024-01-22,193,105,80,medium
acc00399,SafeSignal4420,2024-07-24,33,678,97,low
acc00400,SafeGuru9089,2024-10-12,104,711,56,low
acc00401,AlphaGuru1525,2022-07-18,39693,451,6,high
acc00402,CryptoBot6780,2024-09-18,199,673,193,low
acc00403,FastGuru2779,2022-12-02,25451,136,3,high
acc00404,BlockBot8080,2024-08-02,16,842,161,low
acc00405,HodlBot7934,2024-12-03,19,1239,114,low
acc00406,SafeAnalyst3204,2021-12-14,7510,119,5,high
acc00407,HodlSignal6225,2023-06-05,22096,275,6,high
acc00408,FastWalker4923,2024-09-05,154,1923,101,low
acc00409,AlphaWalker6525,2024-09-04,74,1923,175,low
acc00410,ChainSignal6162,2024-02-25,936,904,45,medium
acc00411,MoonAnalyst3274,2024-10-27,139,868,190,low
acc00412,SafeTrader7184,2023-05-26,19592,475,2,high
acc00413,SafeWalker4962,2024-08-20,64,1848,89,low
acc00414,HodlWhale1212,2024-03-29,712,590,57,medium
acc00415,SmartGuru6854,2024-10-18,9,1236,187,low
acc00416,MoonQueen4068,2024-05-08,780,463,30,medium
acc00417,FastKing9228,2024-05-06,793,762,45,medium
acc00418,HodlQueen173,2024-07-24,66,954,180,low
acc00419,SmartGuru9512,2024-05-14,689,326,48,medium
acc00420,HodlShark9644,2024-11-16,128,808,138,low
acc00421,SafeQueen4841,2021-10-10,6126,109,3,high
acc00422,BlockSignal7461,2024-12-04,52,1567,173,low
acc00423,SafeQueen7179,2024-11-22,178,1426,131,low
acc00424,BlockKing1886,2020-02-07,22983,381,2,high
acc00425,DefiTrader8455,2024-02-04,665,263,41,medium
acc00426,HodlShark3799,2024-06-04,514,744,31,medium
acc00427,HodlWhale479,2023-02-21,40746,151,8,high
acc00428,HodlWhale73,2024-05-17,319,310,37,medium
acc00429,MoonAnalyst1668,2024-06-05,992,649,31,medium
acc00430,AlphaTrader7497,2024-07-27,67,1873,175,low
acc00431,AlphaAnalyst6368,2024-04-29,501,701,27,medium
acc00432,AlphaShark2827,2024-12-10,172,1945,126,low
acc00433,FastQueen2195,2024-03-02,220,344,39,medium
acc00434,DefiSignal2317,2022-03-06,25958,264,10,high
acc00435,FastWhale6932,2020-10-17,32394,375,9,high
acc00436,DefiGuru2734,2024-04-06,395,243,31,medium
acc00437,SafeAnalyst879,2024-12-20,91,519,174,low
acc00438,ChainWhale9201,2022-02-26,43299,303,7,high
acc00439,SafeWhale7273,2024-04-05,271,184,56,medium
acc00440,ChainBot536,2021-03-04,15235,325,5,high
acc00441,SafeAnalyst8116,2022-05-05,33976,107,10,high
acc00442,BlockGuru6011,2022-04-24,3226,439,8,high
acc00443,ChainWhale1678,2024-05-23,949,769,68,medium
acc00444,BlockKing7369,2021-02-14,23344,491,2,high
acc00445,MoonTrader3439,2024-12-09,188,1704,139,low
acc00446,FastWhale2720,2024-04-30,242,903,33,medium
acc00447,CryptoAnalyst5748,2022-04-08,18921,355,9,high
acc00448,AlphaBot4741,2022-06-10,18020,489,9,high
acc00449,MoonWalker6744,2024-06-28,160,383,75,medium
acc00450,DefiWalker4091,2024-01-30,828,429,73,medium
acc00451,HodlShark2330,2022-06-17,41945,187,7,high
acc00452,SafeQueen1526,2024-09-21,131,1069,144,low
acc00453,SafeSignal9535,2024-07-05,198,2000,73,low
acc00454,SafeSignal1038,2024-06-04,647,507,33,medium
acc00455,ChainShark4400,2024-09-05,72,1191,190,low
acc00456,DefiAnalyst7952,2024-06-03,451,798,68,medium
acc00457,CryptoQueen7530,2020-01-28,8642,489,3,high
acc00458,SafeKing7010,2024-08-13,176,770,127,low
acc00459,BlockQueen5906,2021-01-25,5901,240,3,high
acc00460,HodlBot3837,2021-10-30,43457,96,2,high
acc00461,ChainShark1277,2020-07-27,39407,165,9,high
acc00462,SafeKing133,2024-05-16,451,936,27,medium
acc00463,DefiShark1161,2024-08-18,98,682,76,low
acc00464,AlphaSignal4903,2020-08-03,25582,446,3,high
acc00465,DefiQueen8692,2024-04-20,108,724,61,medium
acc00466,SafeSignal3491,2022-09-04,49538,127,7,high
acc00467,SafeTrader1421,2024-06-24,202,243,68,medium
acc00468,FastWhale5760,2021-10-31,21111,455,3,high
acc00469,BlockQueen4066,2022-05-11,39887,357,10,high
