narrative_id,token_id,topic,start_time,end_time,posts
n00016,AITK,Coordinated Spike (Week 2),2025-01-06 00:15:44,2025-01-12 23:58:24,"p0000090,p0001677,p0002562,p0002708,p0003322,p0004001,p0004395,p0005703,p0006373,p0007466,p0007994,p0008198,p0008724,p0010413,p0010800,p0011789,p0012849,p0013444,p0014540,p0015755"
n00017,AITK,Coordinated Spike (Week 3),2025-01-13 04:06:09,2025-01-19 23:38:46,"p0004177,p0005573,p0006161,p0006257,p0006794,p0007763,p0007812,p0010206,p0010381,p0011140,p0012724,p0015273,p0015538,p0015672,p0016096,p0016230,p0017037,p0017612,p0018416,p0018719"
n00018,AITK,Coordinated Spike (Week 4),2025-01-20 00:48:20,2025-01-26 22:31:58,"p0001159,p0001626,p0002956,p0003145,p0004801,p0005036,p0006227,p0006330,p0007664,p0007860,p0008239,p0009226,p0011202,p0012024,p0012075,p0012351,p0013515,p0013764,p0013903,p0014317"
n00019,AITK,Coordinated Spike (Week 5),2025-01-27 02:39:30,2025-02-02 22:19:46,"p0000231,p0000857,p0001150,p0004753,p0005564,p0006231,p0007471,p0007653,p0009878,p0010328,p0011097,p0011329,p0012032,p0013041,p0014986,p0015648,p0015835,p0016150,p0017367,p0017637"
n00020,AITK,Coordinated Spike (Week 6),2025-02-03 01:24:03,2025-02-09 22:28:41,"p0000230,p0000523,p0001026,p0001072,p0001290,p0002225,p0003111,p0004286,p0005305,p0006882,p0008185,p0009228,p0011793,p0012296,p0012955,p0014359,p0017733,p0021664,p0022920,p0023256"
n00021,AITK,Coordinated Spike (Week 7),2025-02-10 00:53:41,2025-02-16 23:45:52,"p0000462,p0000711,p0001409,p0002010,p0002755,p0003474,p0004351,p0005702,p0005776,p0006685,p0007742,p0008162,p0008451,p0008556,p0008687,p0012011,p0012188,p0013063,p0013692,p0014300"
n00022,AITK,Coordinated Spike (Week 8),2025-02-17 03:40:53,2025-02-23 23:18:58,"p0000060,p0002488,p0002927,p0004276,p0004280,p0006945,p0008038,p0008435,p0009374,p0010556,p0012219,p0014637,p0016271,p0017356,p0018549,p0019294,p0019778,p0021654,p0024217,p0025641"
n00023,AITK,Coordinated Spike (Week 9),2025-02-24 00:35:16,2025-03-02 22:05:37,"p0000519,p0001504,p0002349,p0002447,p0005646,p0006340,p0008623,p0011511,p0012469,p0012847,p0012852,p0016135,p0016489,p0018012,p0018378,p0018594,p0018995,p0019484,p0020821,p0021106"
n00024,AITK,Coordinated Spike (Week 10),2025-03-03 00:20:54,2025-03-09 23:19:27,"p0000964,p0001346,p0003013,p0004756,p0005562,p0006051,p0007224,p0007926,p0008611,p0010557,p0011327,p0011783,p0012268,p0012366,p0012907,p0013387,p0013614,p0014244,p0014790,p0015355"
n00025,AITK,Coordinated Spike (Week 11),2025-03-10 02:20:32,2025-03-16 17:47:34,"p0001214,p0001754,p0002667,p0002995,p0003704,p0004085,p0004874,p0005243,p0007393,p0007754,p0007853,p0009095,p0009586,p0010575,p0014225,p0017624,p0019804,p0020750,p0021231,p0021720"
n00026,AITK,Coordinated Spike (Week 12),2025-03-17 05:13:57,2025-03-23 23:56:50,"p0003011,p0004272,p0004408,p0006669,p0006709,p0006801,p0007319,p0007932,p0008444,p0008870,p0010056,p0011002,p0011894,p0013550,p0016597,p0016667,p0017444,p0017885,p0018197,p0018418"
n00027,AITK,Coordinated Spike (Week 13),2025-03-24 00:42:49,2025-03-30 21:58:04,"p0002986,p0006810,p0009985,p0010551,p0010840,p0011418,p0013043,p0015003,p0016051,p0016492,p0017869,p0019489,p0020652,p0020822,p0021201,p0021491,p0021539,p0023614,p0024862,p0025952"
n00028,AITK,Coordinated Spike (Week 14),2025-03-31 01:53:37,2025-03-31 21:46:13,"p0001419,p0003317,p0015817,p0021441,p0022118,p0025792,p0035057,p0036578,p0054759,p0059191,p0059566,p0073832,p0089122,p0093759,p0099190"
n00029,AITK,Doubt Spike (Week 1),2025-01-01 00:16:47,2025-01-05 23:45:58,"p0000795,p0000982,p0002893,p0003123,p0004029,p0004600,p0005876,p0008445,p0008646,p0008940,p0009012,p0009452,p0010337,p0010929,p0012272,p0012905,p0013129,p0013135,p0013746,p0014601"
n00030,AITK,Doubt Spike (Week 2),2025-01-06 00:25:11,2025-01-12 23:37:11,"p0000291,p0000391,p0001893,p0003067,p0003521,p0004008,p0006017,p0006934,p0007476,p0007786,p0007976,p0008271,p0008488,p0009080,p0012705,p0013362,p0013422,p0013755,p0013835,p0014075"
n00031,AITK,Doubt Spike (Week 3),2025-01-13 01:04:09,2025-01-19 23:14:18,"p0000788,p0003166,p0003861,p0003938,p0004243,p0004735,p0004818,p0005154,p0005383,p0005664,p0005919,p0006744,p0006940,p0007258,p0007349,p0007917,p0008253,p0008562,p0009314,p0009401"
n00032,AITK,Doubt Spike (Week 4),2025-01-20 02:41:07,2025-01-26 22:09:39,"p0000699,p0001297,p0001962,p0004024,p0006334,p0006724,p0006880,p0007147,p0008845,p0010463,p0012134,p0012213,p0012835,p0013000,p0013309,p0014227,p0014428,p0014622,p0014666,p0015080"
n00033,AITK,Doubt Spike (Week 5),2025-01-27 00:50:33,2025-02-02 23:55:34,"p0000129,p0001066,p0001314,p0001793,p0001947,p0002970,p0004665,p0005669,p0005976,p0006375,p0006401,p0007538,p0007707,p0008019,p0008997,p0009474,p0009882,p0009916,p0011104,p0013403"
n00034,AITK,Doubt Spike (Week 6),2025-02-03 00:26:20,2025-02-09 21:35:15,"p0000502,p0000941,p0000960,p0002331,p0005981,p0006413,p0006923,p0007309,p0008112,p0008323,p0009027,p0009464,p0010843,p0012301,p0012557,p0012622,p0013778,p0013921,p0014762,p0015367"
n00035,AITK,Doubt Spike (Week 7),2025-02-10 02:32:15,2025-02-16 22:34:50,"p0000345,p0000419,p0001629,p0001716,p0001800,p0004425,p0004439,p0004937,p0005168,p0006791,p0007247,p0007335,p0007587,p0010124,p0010561,p0011206,p0012168,p0014927,p0015709,p0016527"
n00036,AITK,Doubt Spike (Week 8),2025-02-17 00:31:54,2025-02-23 23:49:19,"p0001084,p0002618,p0003021,p0003087,p0003989,p0004560,p0004575,p0004779,p0004860,p0005748,p0006229,p0007837,p0008080,p0009665,p0012091,p0012311,p0013687,p0014450,p0014625,p0015532"
n00037,AITK,Doubt Spike (Week 9),2025-02-24 00:04:29,2025-03-02 18:40:03,"p0000480,p0000602,p0002820,p0003665,p0003862,p0004472,p0005034,p0005585,p0006080,p0006341,p0007362,p0008460,p0008705,p0008929,p0009564,p0009601,p0009658,p0010573,p0012000,p0012945"
n00038,AITK,Doubt Spike (Week 10),2025-03-03 00:25:18,2025-03-09 23:58:47,"p0000440,p0001275,p0001786,p0002907,p0003493,p0004046,p0004657,p0005227,p0005925,p0006406,p0006417,p0006982,p0006986,p0007631,p0008270,p0008534,p0008672,p0009101,p0009120,p0009128"
n00039,AITK,Doubt Spike (Week 11),2025-03-10 00:45:57,2025-03-16 23:31:46,"p0000621,p0001774,p0002299,p0003180,p0003381,p0005418,p0006022,p0006772,p0006778,p0007515,p0007866,p0008149,p0008605,p0010173,p0010284,p0010543,p0010930,p0011163,p0011746,p0011830"
n00040,AITK,Doubt Spike (Week 12),2025-03-17 00:25:45,2025-03-23 22:55:08,"p0000673,p0001580,p0001700,p0001976,p0002635,p0002908,p0003218,p0004038,p0006506,p0006525,p0006832,p0006965,p0008060,p0008492,p0009165,p0009303,p0009483,p0009534,p0010149,p0010249"
n00041,AITK,Doubt Spike (Week 13),2025-03-24 00:44:10,2025-03-30 23:44:56,"p0000027,p0000123,p0000472,p0000589,p0000916,p0001188,p0001439,p0001843,p0002688,p0002849,p0004371,p0004567,p0004572,p0004693,p0004896,p0005155,p0005668,p0005836,p0006043,p0006383"
n00042,AITK,Doubt Spike (Week 14),2025-03-31 00:07:21,2025-03-31 21:39:54,"p0002611,p0004232,p0004384,p0010828,p0015234,p0015984,p0028855,p0038696,p0040213,p0040386,p0054306,p0062071,p0066513,p0070224,p0076860,p0082476,p0098548"
n00043,AITK,Fake News Spike (Week 1),2025-01-01 02:00:42,2025-01-05 22:16:30,"p0004211,p0009041,p0014322,p0016004,p0019002,p0019286,p0028560,p0028990,p0034634,p0037112,p0047573,p0049676,p0049729,p0059504,p0060474,p0071902,p0073983,p0078151,p0079198,p0079894"
n00044,AITK,Fake News Spike (Week 2),2025-01-06 08:45:02,2025-01-12 13:15:23,"p0003738,p0004060,p0009595,p0014759,p0017618,p0021676,p0022866,p0025021,p0026182,p0028781,p0034891,p0034907,p0040705,p0043572,p0046690,p0054123,p0057983,p0064871,p0065246,p0065979"
n00045,AITK,Fake News Spike (Week 3),2025-01-13 00:15:54,2025-01-19 23:24:02,"p0000071,p0000482,p0003252,p0005193,p0013870,p0017597,p0018045,p0025449,p0027886,p0028516,p0030970,p0033900,p0037564,p0041869,p0045047,p0048891,p0049312,p0052079,p0057087,p0059917"
n00046,AITK,Fake News Spike (Week 4),2025-01-20 03:51:08,2025-01-26 23:44:07,"p0005376,p0005781,p0006082,p0010038,p0012801,p0014389,p0017613,p0023452,p0028831,p0029296,p0029317,p0031985,p0036644,p0043646,p0043754,p0044167,p0054899,p0055374,p0056042,p0056141"
n00047,AITK,Fake News Spike (Week 5),2025-01-27 02:28:59,2025-02-02 23:33:52,"p0003306,p0005851,p0008732,p0013010,p0015126,p0018801,p0020064,p0020396,p0023028,p0023085,p0025359,p0032305,p0033173,p0033184,p0035982,p0037160,p0038066,p0039240,p0039583,p0042721"
n00048,AITK,Fake News Spike (Week 6),2025-02-03 07:02:08,2025-02-09 21:50:45,"p0006465,p0007580,p0012869,p0013927,p0015788,p0020723,p0025914,p0027894,p0032766,p0035486,p0035987,p0036358,p0038687,p0039142,p0042026,p0042094,p0043200,p0044480,p0057549,p0061381"
n00049,AITK,Fake News Spike (Week 7),2025-02-10 06:42:52,2025-02-16 09:08:04,"p0005653,p0006206,p0008851,p0009408,p0010415,p0015910,p0017203,p0022653,p0028791,p0029386,p0033116,p0035106,p0037350,p0037666,p0045214,p0050126,p0053806,p0056376,p0059876,p0063016"
n00050,AITK,Fake News Spike (Week 8),2025-02-17 07:18:08,2025-02-23 20:57:09,"p0002295,p0005321,p0007152,p0024691,p0026222,p0031044,p0031880,p0035325,p0038443,p0038691,p0041873,p0046097,p0047618,p0049646,p0050137,p0056256,p0061228,p0067337,p0069911,p0070102"
n00051,AITK,Fake News Spike (Week 9),2025-02-24 00:11:32,2025-03-02 18:50:02,"p0003443,p0003668,p0004173,p0005782,p0008241,p0009799,p0012627,p0013698,p0013936,p0014247,p0021701,p0021801,p0029695,p0031714,p0031717,p0037128,p0039813,p0047459,p0049732,p0050632"
n00052,AITK,Fake News Spike (Week 10),2025-03-03 04:12:04,2025-03-09 22:05:57,"p0000218,p0000339,p0002472,p0013214,p0021057,p0024745,p0025469,p0026008,p0028452,p0029049,p0029685,p0031604,p0032445,p0037697,p0041679,p0045187,p0050288,p0059209,p0059258,p0059901"
n00053,AITK,Fake News Spike (Week 11),2025-03-10 01:33:30,2025-03-16 16:57:53,"p0001358,p0006558,p0006884,p0014314,p0014815,p0015620,p0016380,p0020681,p0021365,p0023190,p0023421,p0023471,p0024960,p0025607,p0029268,p0029881,p0032069,p0034716,p0034818,p0036174"
n00054,AITK,Fake News Spike (Week 12),2025-03-17 06:40:22,2025-03-23 18:44:55,"p0002218,p0010003,p0012866,p0020325,p0025092,p0025227,p0030448,p0031788,p0036097,p0038477,p0044794,p0045631,p0046658,p0047014,p0049922,p0050114,p0050419,p0052476,p0055640,p0059678"
n00055,AITK,Fake News Spike (Week 13),2025-03-24 00:33:54,2025-03-30 22:55:01,"p0009933,p0011816,p0012858,p0015325,p0019749,p0033748,p0035658,p0041628,p0046630,p0047520,p0051720,p0053814,p0055963,p0056622,p0057915,p0058616,p0062379,p0068338,p0071565,p0071896"
n00056,BLOC,Bot Spike (Week 1),2025-01-01 00:44:48,2025-01-05 23:50:35,"p0002526,p0003155,p0003253,p0003399,p0003778,p0003921,p0005858,p0005863,p0005943,p0005950,p0006268,p0006627,p0006631,p0006957,p0007012,p0007789,p0008048,p0008465,p0009087,p0010181"
n00057,BLOC,Bot Spike (Week 2),2025-01-06 00:20:50,2025-01-12 23:06:59,"p0000302,p0000742,p0000879,p0001018,p0001081,p0001324,p0001450,p0001827,p0002370,p0002438,p0003333,p0003700,p0003995,p0004244,p0005647,p0005760,p0005884,p0006149,p0006668,p0007133"
n00058,BLOC,Bot Spike (Week 3),2025-01-13 01:39:15,2025-01-19 23:17:01,"p0002781,p0002882,p0002969,p0003115,p0003266,p0004451,p0004917,p0004938,p0005307,p0005395,p0006298,p0007145,p0007969,p0008434,p0008908,p0009103,p0009701,p0009770,p0009796,p0009853"
n00059,BLOC,Bot Spike (Week 4),2025-01-20 00:18:24,2025-01-26 22:11:17,"p0000377,p0000575,p0001028,p0001269,p0001340,p0002027,p0003639,p0004918,p0004923,p0005318,p0006396,p0007412,p0007594,p0008126,p0009347,p0009558,p0010275,p0010295,p0011375,p0011600"
n00060,BLOC,Bot Spike (Week 5),2025-01-27 00:09:25,2025-02-02 19:55:43,"p0000335,p0001598,p0001678,p0001826,p0002587,p0002856,p0003084,p0003389,p0003446,p0003576,p0004815,p0004906,p0005495,p0005594,p0006405,p0006419,p0006892,p0007079,p0007283,p0008923"
n00061,BLOC,Bot Spike (Week 6),2025-02-03 00:13:39,2025-02-09 23:45:20,"p0000282,p0000639,p0001462,p0001617,p0001689,p0001821,p0001832,p0001863,p0001943,p0002121,p0002528,p0002625,p0002695,p0003323,p0003750,p0004667,p0004755,p0005500,p0005614,p0005704"
n00062,BLOC,Bot Spike (Week 7),2025-02-10 01:01:16,2025-02-16 23:57:43,"p0000356,p0000513,p0000733,p0001705,p0001837,p0001852,p0002306,p0002435,p0002571,p0003272,p0004124,p0004673,p0005888,p0006427,p0006654,p0007952,p0008291,p0008717,p0008824,p0009020"
n00063,BLOC,Bot Spike (Week 8),2025-02-17 00:09:02,2025-02-23 23:19:28,"p0000127,p0000445,p0000988,p0001205,p0001322,p0001453,p0001925,p0003344,p0004263,p0004273,p0004680,p0005120,p0006163,p0006239,p0006467,p0006588,p0007253,p0007896,p0007941,p0008032"
n00064,BLOC,Bot Spike (Week 9),2025-02-24 00:57:33,2025-03-02 22:38:40,"p0000209,p0000353,p0000898,p0000904,p0001915,p0002401,p0003132,p0003212,p0003395,p0005008,p0005396,p0005577,p0006680,p0007274,p0007449,p0007904,p0008029,p0008153,p0008806,p0009210"
n00065,BLOC,Bot Spike (Week 10),2025-03-03 00:52:53,2025-03-09 23:43:30,"p0000659,p0000821,p0001082,p0001247,p0001559,p0001596,p0002730,p0003789,p0004035,p0004152,p0004430,p0004549,p0005046,p0005356,p0005533,p0005538,p0006807,p0006815,p0007712,p0008343"
n00066,BLOC,Bot Spike (Week 11),2025-03-10 00:05:40,2025-03-16 23:42:35,"p0000499,p0001015,p0001149,p0002325,p0002830,p0003451,p0003563,p0004067,p0004373,p0004706,p0004713,p0004849,p0005185,p0005237,p0005323,p0005796,p0005894,p0006065,p0007936,p0008017"
n00067,BLOC,Bot Spike (Week 12),2025-03-17 01:03:42,2025-03-23 22:33:08,"p0000254,p0001376,p0001435,p0001866,p0002231,p0002479,p0002800,p0003082,p0003279,p0003582,p0003910,p0004052,p0004495,p0004521,p0004621,p0005873,p0006539,p0006596,p0007194,p0008337"
n00068,BLOC,Bot Spike (Week 13),2025-03-24 00:04:49,2025-03-30 23:51:03,"p0000506,p0001333,p0001838,p0002384,p0003524,p0003577,p0003766,p0004579,p0005219,p0005554,p0006560,p0006904,p0007068,p0007221,p0007347,p0007556,p0007978,p0008096,p0008437,p0008853"
n00069,BLOC,Bot Spike (Week 14),2025-03-31 00:47:07,2025-03-31 23:57:49,"p0001138,p0001701,p0002578,p0003049,p0003265,p0004858,p0005311,p0015482,p0017937,p0021778,p0026712,p0029327,p0035181,p0037815,p0039253,p0039710,p0041986,p0043997,p0049715,p0050007"
n00070,BLOC,Coordinated Spike (Week 1),2025-01-01 01:17:38,2025-01-05 23:51:06,"p0000771,p0001799,p0002243,p0003061,p0003767,p0006745,p0007023,p0008481,p0008574,p0010008,p0010679,p0011183,p0011213,p0012433,p0012864,p0013072,p0015416,p0015588,p0018602,p0021206"
n00071,BLOC,Coordinated Spike (Week 2),2025-01-06 03:12:13,2025-01-12 23:44:57,"p0001234,p0004281,p0004542,p0004946,p0006452,p0006914,p0006931,p0007061,p0008912,p0009479,p0010476,p0012217,p0012785,p0013562,p0013724,p0014124,p0014735,p0016030,p0016914,p0017208"
n00072,BLOC,Coordinated Spike (Week 3),2025-01-13 00:10:38,2025-01-19 22:04:27,"p0000255,p0000392,p0003833,p0005522,p0005580,p0006113,p0006818,p0009174,p0009715,p0010512,p0011683,p0012831,p0014677,p0014721,p0016334,p0017189,p0018716,p0019331,p0019341,p0019922"
n00073,BLOC,Coordinated Spike (Week 4),2025-01-20 03:46:36,2025-01-26 23:50:04,"p0000431,p0002404,p0002831,p0003363,p0005385,p0006703,p0007522,p0007979,p0011751,p0014636,p0015046,p0015895,p0016324,p0016852,p0017423,p0018158,p0018265,p0019238,p0019638,p0020282"
n00074,BLOC,Coordinated Spike (Week 5),2025-01-27 04:33:43,2025-02-02 23:41:25,"p0000642,p0003080,p0004110,p0005160,p0006333,p0006648,p0006806,p0008171,p0009016,p0009451,p0011263,p0011804,p0012228,p0012338,p0013290,p0014236,p0014685,p0015664,p0016410,p0016675"
n00075,BLOC,Coordinated Spike (Week 6),2025-02-03 03:17:32,2025-02-09 21:22:01,"p0001984,p0003726,p0004055,p0005747,p0007227,p0007464,p0007545,p0008955,p0009846,p0011119,p0012073,p0013960,p0015329,p0016419,p0016495,p0017859,p0018011,p0021663,p0022349,p0023910"
n00076,BLOC,Coordinated Spike (Week 7),2025-02-10 04:13:41,2025-02-16 23:55:16,"p0002034,p0002656,p0002722,p0004822,p0004916,p0012269,p0014048,p0014936,p0015927,p0016029,p0017029,p0017998,p0018353,p0018370,p0018479,p0019601,p0019999,p0021015,p0021050,p0021710"
n00077,BLOC,Coordinated Spike (Week 8),2025-02-17 00:13:16,2025-02-23 21:32:36,"p0000547,p0001342,p0001767,p0001881,p0002364,p0002467,p0003167,p0003339,p0003374,p0004201,p0005357,p0006407,p0007057,p0009073,p0009358,p0010935,p0012709,p0013638,p0014209,p0014259"
n00078,BLOC,Coordinated Spike (Week 9),2025-02-24 01:13:21,2025-03-02 19:04:52,"p0001682,p0001690,p0001853,p0001882,p0002424,p0003386,p0003427,p0005655,p0006244,p0008137,p0009064,p0010228,p0011278,p0012016,p0012289,p0013048,p0013311,p0013707,p0014033,p0017347"
n00079,BLOC,Coordinated Spike (Week 10),2025-03-03 02:34:04,2025-03-09 21:56:26,"p0000332,p0000798,p0003048,p0003289,p0005224,p0005277,p0005854,p0007977,p0009231,p0011723,p0011953,p0012336,p0013075,p0014546,p0015424,p0015511,p0016989,p0017442,p0019235,p0019307"
n00080,BLOC,Coordinated Spike (Week 11),2025-03-10 01:42:40,2025-03-16 23:12:50,"p0002592,p0003535,p0005312,p0005759,p0006961,p0008810,p0008945,p0011462,p0011495,p0011549,p0011558,p0013799,p0014853,p0016255,p0016510,p0019099,p0019470,p0019618,p0022191,p0022732"
n00081,BLOC,Coordinated Spike (Week 12),2025-03-17 05:00:18,2025-03-23 19:58:38,"p0000134,p0000697,p0000812,p0001114,p0001552,p0001644,p0004079,p0004144,p0005326,p0006614,p0007002,p0007852,p0007907,p0008140,p0008593,p0011018,p0011505,p0011620,p0012259,p0013156"
n00082,BLOC,Coordinated Spike (Week 13),2025-03-24 03:22:30,2025-03-30 23:40:07,"p0000397,p0000644,p0002879,p0003459,p0004662,p0004962,p0005332,p0006695,p0009030,p0010293,p0011173,p0011565,p0011866,p0012365,p0013298,p0013840,p0014134,p0015207,p0015904,p0016847"
n00083,BLOC,Coordinated Spike (Week 14),2025-03-31 00:31:35,2025-03-31 23:08:23,"p0001557,p0013430,p0016268,p0018620,p0019981,p0027171,p0034175,p0041419,p0041537,p0059354,p0059418,p0065931,p0070838,p0073352,p0076919,p0077600,p0088107,p0089754,p0092406"
n00084,BLOC,Doubt Spike (Week 1),2025-01-01 00:13:01,2025-01-05 23:25:22,"p0002245,p0003291,p0006942,p0007034,p0007544,p0007849,p0008941,p0013751,p0013836,p0014076,p0014326,p0014539,p0015098,p0015919,p0018122,p0019086,p0020820,p0022074,p0022506,p0022674"
n00085,BLOC,Doubt Spike (Week 2),2025-01-06 01:16:29,2025-01-12 22:14:16,"p0001458,p0001527,p0001862,p0002202,p0003286,p0003788,p0004216,p0005784,p0006598,p0006826,p0007217,p0007842,p0008698,p0009232,p0010021,p0010240,p0010254,p0010372,p0010981,p0012440"
n00086,BLOC,Doubt Spike (Week 3),2025-01-13 01:41:45,2025-01-19 22:43:22,"p0000108,p0001261,p0002216,p0002680,p0003969,p0003971,p0004261,p0005907,p0005908,p0005926,p0005967,p0007422,p0007738,p0008652,p0008987,p0009094,p0009112,p0009250,p0010025,p0010873"
n00087,BLOC,Doubt Spike (Week 4),2025-01-20 02:06:05,2025-01-26 23:47:01,"p0000016,p0000414,p0000632,p0001568,p0002444,p0002779,p0004574,p0005001,p0005183,p0005805,p0006433,p0007710,p0007950,p0008540,p0009573,p0010497,p0011143,p0011802,p0013513,p0013773"
n00088,BLOC,Doubt Spike (Week 5),2025-01-27 00:10:35,2025-02-02 23:51:19,"p0000022,p0000226,p0001067,p0002393,p0002556,p0002640,p0002868,p0004142,p0004736,p0005596,p0006657,p0007512,p0007637,p0008671,p0009117,p0009146,p0009575,p0009660,p0009836,p0010706"
n00089,BLOC,Doubt Spike (Week 6),2025-02-03 00:45:44,2025-02-09 22:16:55,"p0000764,p0001969,p0004230,p0004365,p0005177,p0006210,p0006422,p0006893,p0007511,p0007610,p0007809,p0008498,p0008662,p0009605,p0010905,p0012514,p0013501,p0014662,p0014798,p0014866"
n00090,BLOC,Doubt Spike (Week 7),2025-02-10 01:20:36,2025-02-16 19:23:22,"p0001101,p0001253,p0002222,p0002624,p0003146,p0003456,p0003468,p0003649,p0005164,p0005756,p0005812,p0006623,p0007124,p0007591,p0009246,p0009458,p0010824,p0010980,p0011510,p0012105"
n00091,BLOC,Doubt Spike (Week 8),2025-02-17 06:05:00,2025-02-23 22:32:57,"p0000987,p0001966,p0002802,p0002811,p0002883,p0003466,p0003740,p0004590,p0005049,p0006850,p0008406,p0009070,p0009990,p0010752,p0011977,p0012002,p0012657,p0013536,p0014051,p0014599"
n00092,BLOC,Doubt Spike (Week 9),2025-02-24 00:27:45,2025-03-02 23:08:25,"p0000312,p0001987,p0002187,p0003232,p0003545,p0003925,p0004175,p0004220,p0005014,p0005491,p0005605,p0006517,p0006894,p0006962,p0007364,p0007699,p0007724,p0008028,p0010863,p0011072"
n00093,BLOC,Doubt Spike (Week 10),2025-03-03 00:02:52,2025-03-09 22:17:36,"p0001158,p0001423,p0001798,p0002237,p0002377,p0002591,p0002638,p0003749,p0003806,p0004164,p0004622,p0004638,p0004699,p0005093,p0005441,p0005625,p0005945,p0006021,p0006305,p0007138"
